ps_partkey|value
4877|18980009.12
198585|16694701.69
78280|15889749.48
89702|15676712.64
15055|15452319.20
8301|15347290.61
149560|15216098.40
106104|15088823.00
151677|15081591.93
190017|14888288.32
169661|14862425.28
174268|14620946.23
142235|14355412.47
12876|14295909.16
130775|14167824.05
150337|14049885.78
37169|13907386.08
20374|13659528.00
47920|13642032.64
36522|13545061.28
118846|13509777.62
129261|13253722.92
187417|13202419.84
184358|12949084.82
53021|12896811.51
3968|12877325.80
67263|12850627.28
150973|12733034.50
22222|12647602.06
11164|12609746.59
42369|12532737.64
24678|12510712.96
8857|12503586.60
79601|12478443.76
173486|12443950.99
114546|12259977.38
93880|12254819.73
148710|12251705.40
57049|12225926.17
116797|12133802.74
124930|12113234.57
197832|12019883.18
45009|11997721.75
5801|11967749.26
133714|11915085.42
17175|11893788.68
134293|11724056.52
89853|11711848.32
19302|11685274.53
43561|11650744.57
68624|11622538.06
136227|11604142.48
197896|11585730.78
7756|11524063.90
54292|11512225.17
96323|11500976.31
59261|11462131.14
33941|11451269.75
194236|11417311.41
2962|11407573.47
53498|11405605.86
26869|11326615.55
24024|11245937.58
84438|11224283.02
173864|11206354.20
55432|11175364.57
57922|11165954.24
64678|11108284.76
90055|11075947.39
188459|11062223.71
8879|11038016.62
28855|11016839.83
9726|11010851.21
129400|11004553.47
171912|10982580.15
173307|10943072.64
148667|10938441.61
81263|10936344.24
147558|10918244.30
17562|10895811.27
26435|10843113.01
61205|10830946.25
171318|10775291.90
177975|10772161.57
156003|10761223.59
82210|10757818.73
76343|10683930.41
134671|10663410.93
94678|10652021.68
140517|10629139.03
91707|10557073.55
194897|10554637.22
36379|10512146.05
36752|10497419.28
171719|10493200.94
81292|10445047.77
197498|10444627.38
144588|10423094.16
86726|10420415.11
92466|10395673.32
98409|10382911.10
164903|10381385.90
33781|10364661.66
41357|10363948.72
127442|10356108.14
44898|10331851.20
126100|10322489.35
68825|10297216.26
165319|10287145.97
76216|10276920.58
173746|10259140.71
1379|10240051.89
96548|10207678.98
11668|10189899.12
78850|10189841.46
124371|10188573.90
111357|10184349.92
32867|10159336.45
77911|10091327.56
103767|10090956.30
46275|10059891.36
69107|10056839.39
151468|10049105.26
77658|10018983.32
1114|9994252.67
163866|9990593.28
162803|9956961.87
90854|9942428.44
7059|9937148.28
72548|9936257.79
8787|9925772.46
94388|9915123.78
134345|9914858.31
23575|9909799.12
127967|9895440.72
47588|9891239.68
162210|9888505.88
82361|9873384.82
102422|9864837.15
162196|9861182.57
103632|9844952.37
116184|9842451.72
47102|9838337.29
114548|9828610.84
156099|9820228.39
195316|9816753.11
156877|9816032.62
53766|9815380.80
109549|9814360.05
45021|9809511.04
154963|9804559.14
110220|9777762.02
116344|9776347.42
183636|9751261.80
17836|9751073.97
72483|9738361.89
167753|9734885.92
20835|9729522.36
155532|9722615.68
52822|9721693.73
55848|9719441.62
95515|9698632.50
18723|9697221.12
93850|9695323.68
188932|9683050.82
69666|9682801.20
59601|9682194.28
162445|9678275.10
82009|9677603.62
109018|9672984.61
50516|9672215.64
35233|9664757.06
23851|9662418.18
114374|9654161.76
126194|9647400.04
115315|9644320.56
95265|9631581.80
62796|9620052.25
91574|9616159.35
131123|9615250.58
1011|9608892.80
174479|9590443.86
173169|9589302.27
14099|9580600.47
93692|9580526.28
2756|9578873.72
139171|9575812.65
38163|9574341.84
16733|9572659.66
183031|9569036.54
102952|9559716.32
128082|9559696.25
51478|9558106.42
43595|9546434.88
127543|9540472.78
197416|9530535.02
101253|9528329.78
179542|9523147.59
107288|9515295.27
116142|9514987.37
8697|9502176.42
176249|9501526.14
81106|9499282.50
92591|9496013.42
134330|9492332.20
20631|9487413.65
182734|9485103.98
113489|9475720.73
162025|9469720.52
33053|9466119.00
13696|9465789.62
132205|9463311.64
144035|9456660.00
113850|9451745.27
171331|9434990.98
122442|9431322.66
174710|9422502.23
103450|9420009.06
70401|9418952.88
37835|9417492.19
183687|9407829.44
3687|9405530.75
36366|9398436.45
88482|9386877.72
175801|9385541.66
15723|9383900.80
12880|9374744.57
188472|9364237.25
167835|9360912.39
132774|9348896.34
162943|9348791.15
71580|9347534.10
92427|9344751.92
16760|9338959.20
185767|9334439.10
7947|9333866.88
127926|9330652.08
7872|9330185.54
113812|9326505.42
6703|9325389.42
194393|9319975.92
23687|9317081.10
152743|9316762.26
186640|9312758.91
188879|9311890.28
32142|9311187.04
53853|9299481.37
131258|9298652.04
104529|9294880.26
47434|9293009.88
136167|9289726.04
32905|9286340.00
132516|9283783.57
59013|9275049.41
199783|9272643.86
119569|9261329.22
84420|9259768.72
166782|9258767.07
154832|9258139.20
128902|9255393.26
147493|9254575.10
191419|9249437.67
51516|9248735.65
160334|9245997.62
59251|9244092.99
190428|9241871.94
65453|9236408.04
61435|9223276.94
123561|9221998.50
48660|9221135.56
75055|9215566.28
2774|9214744.28
116544|9212798.10
960|9209653.78
120566|9208299.36
62363|9201696.71
198723|9199216.38
4937|9194650.42
136562|9192972.36
160436|9191090.25
144342|9186568.80
47442|9184332.20
119255|9183029.16
92502|9179952.32
100177|9177261.72
189954|9175799.26
19171|9171765.12
71771|9169939.01
155057|9158334.22
187858|9153485.50
172081|9152698.68
183319|9149515.50
176381|9149138.81
43363|9148043.44
106174|9147203.66
180417|9145729.75
153445|9143876.36
85248|9142945.30
111739|9141600.00
156265|9140819.60
21766|9140135.36
102552|9139186.54
70121|9137849.91
22410|9136964.90
141778|9124789.24
73858|9124097.24
195820|9121507.72
144654|9120822.76
124426|9118552.38
42765|9118426.24
96894|9111550.89
149252|9107591.27
27873|9103136.02
117340|9101760.56
184708|9100357.74
160048|9098358.73
98950|9097686.40
153757|9087295.50
185873|9085653.68
136429|9085342.75
139362|9082522.68
193398|9081137.52
20217|9074448.00
23736|9073514.80
38421|9072253.47
9559|9070880.04
197137|9069335.10
74449|9068912.42
69376|9067535.40
80013|9064539.39
152792|9063173.28
28497|9057458.10
57672|9056420.10
133684|9040241.02
186752|9033344.88
84615|9030810.24
127822|9028824.86
199137|9023362.12
101124|9023214.64
56797|9023145.22
72080|9023043.36
131737|9022786.12
190834|9022691.00
123441|9016093.04
118381|9015480.32
31890|9014510.16
180765|9013341.00
115282|9013246.25
165785|9009794.13
154905|9008165.82
187263|9006390.00
110223|9003447.86
57634|9002771.90
31883|9001515.06
193971|8997556.40
142564|8997469.63
