p_brand|p_type|p_size|supplier_cnt
Brand#55|LARGE BURNISHED TIN|21|36
Brand#23|MEDIUM BRUSHED STEEL|41|28
Brand#41|ECONOMY ANODIZED STEEL|48|28
Brand#11|STANDARD POLISHED TIN|39|24
Brand#12|MEDIUM PLATED BRASS|21|24
Brand#14|PROMO PLATED COPPER|48|24
Brand#15|SMALL BURNISHED NICKEL|19|24
Brand#22|SMALL BURNISHED BRASS|19|24
Brand#22|STANDARD ANODIZED TIN|12|24
Brand#23|PROMO BRUSHED NICKEL|41|24
Brand#32|SMALL ANODIZED BRASS|7|24
Brand#33|ECONOMY PLATED STEEL|7|24
Brand#35|PROMO PLATED TIN|39|24
Brand#41|ECONOMY POLISHED TIN|19|24
Brand#42|STANDARD ANODIZED NICKEL|12|24
Brand#53|SMALL BRUSHED STEEL|12|24
Brand#55|ECONOMY BURNISHED NICKEL|21|24
Brand#21|LARGE BURNISHED NICKEL|21|23
Brand#11|LARGE ANODIZED BRASS|41|20
Brand#11|LARGE ANODIZED TIN|48|20
Brand#11|MEDIUM ANODIZED TIN|7|20
Brand#11|PROMO BRUSHED STEEL|7|20
Brand#11|PROMO PLATED TIN|7|20
Brand#11|SMALL POLISHED BRASS|7|20
Brand#12|LARGE POLISHED COPPER|39|20
Brand#12|MEDIUM BRUSHED NICKEL|39|20
Brand#12|MEDIUM POLISHED NICKEL|4|20
Brand#12|SMALL BRUSHED STEEL|7|20
Brand#12|STANDARD PLATED BRASS|19|20
Brand#13|LARGE BURNISHED NICKEL|19|20
Brand#13|MEDIUM POLISHED TIN|12|20
Brand#13|SMALL BURNISHED BRASS|7|20
Brand#13|SMALL POLISHED NICKEL|41|20
Brand#14|ECONOMY PLATED NICKEL|7|20
Brand#14|ECONOMY PLATED STEEL|41|20
Brand#15|STANDARD BURNISHED NICKEL|48|20
Brand#15|STANDARD BURNISHED STEEL|12|20
Brand#21|PROMO ANODIZED STEEL|21|20
Brand#21|SMALL BRUSHED NICKEL|21|20
Brand#21|SMALL BURNISHED BRASS|7|20
Brand#21|STANDARD ANODIZED COPPER|7|20
