s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
9925.41|Supplier#000005391|CHINA|17887|Manufacturer#3|BfIsR LpIHomv77D0EU,T4x0VyZ4|28-756-465-8149| special deposits are above the
9903.47|Supplier#000002334|VIETNAM|194776|Manufacturer#5|TRASs4 HRa7BJLxXRms327M|31-806-679-3391|nts doze blithely ironic deposits. bold deposits boost. care
9901.58|Supplier#000001432|VIETNAM|88923|Manufacturer#3|gIECERmEUGoiGrKmSz|31-671-456-4156|ongside of the furiously final
9870.20|Supplier#000007313|INDIA|89788|Manufacturer#4|meT,KifX5L2se|18-769-841-4284|en ideas cajole furiously across the daring gifts. carefully bold accounts boost fluffily
9833.79|Supplier#000001761|INDONESIA|41760|Manufacturer#4|a0m8NEA2aIlbFIC,54v7|19-593-938-9681|ckages integrate fluffily after the slyly express pains. slyly regula
9794.83|Supplier#000009308|CHINA|39307|Manufacturer#1|yV4zFJaBvx9P5wLH7,|28-854-703-2869|l packages boost always slyly
9794.83|Supplier#000009308|CHINA|121771|Manufacturer#3|yV4zFJaBvx9P5wLH7,|28-854-703-2869|l packages boost always slyly
9779.92|Supplier#000001688|INDONESIA|84163|Manufacturer#3|WpC9wCj7bYZwJGMrs|19-389-800-2516|ular foxes wake slyly even, express foxes. regul
9719.33|Supplier#000006056|INDONESIA|58540|Manufacturer#5|GoJkowKdxFsgPvTom6kGUarfGRg6DvwiL|19-167-423-3098|ctions affix furiously furiously bold accounts. furiously
9713.42|Supplier#000000810|INDONESIA|88301|Manufacturer#4|RMJoA1yw 1fM|19-328-138-9772|ithely furiously final dolphins-- furiously ironic warhorses beyond th
9711.40|Supplier#000008582|VIETNAM|163549|Manufacturer#3|B,Sy8pyruZPcyhEMUf|31-274-355-1342|ultipliers. carefully final requests lose fluffily? regular asymptotes sleep according to
9698.60|Supplier#000009126|INDONESIA|99125|Manufacturer#5|VUdvyOMwXOnKP3oNGYekoVLDAzZL4P YRpfglv|19-584-254-7605|structions. unusual requests across the furiously ironic dep
9642.15|Supplier#000007003|INDONESIA|87002|Manufacturer#2|ratdvUMoA6ERhe4neyN15S|19-273-946-6063|ly special grouches about the slyly 
9636.13|Supplier#000005572|VIETNAM|23069|Manufacturer#4|o0VYozeSbEyqck|31-829-399-4904| unusual accounts wake along the carefully express requests. c
9634.51|Supplier#000005401|VIETNAM|32897|Manufacturer#4|eEOlCEAaIfVexStlrgTuzwQx7vjPF6ZT dm|31-591-611-2096|ding to the pending braids
9604.84|Supplier#000005826|JAPAN|63319|Manufacturer#3|UBUkU3Qj vj ejTvBrm1nmlFEc4ycHH2U5fvcK6|22-323-117-7368|egular accounts. even, final
9593.18|Supplier#000005424|CHINA|125423|Manufacturer#5|eJ44,Ds5P6Ljs2ohg5oEYMMbOAHN|28-249-524-3207| dependencies affix blithely furiou
9583.11|Supplier#000000173|JAPAN|2672|Manufacturer#2|OqQzF6rfxDvkjpMXVCwGfQzj4oTHBHyW5kC5Gjxd|22-640-545-4690|ly regular escapades use among the express deposits. unusual, silent deposits wake. ins
9583.11|Supplier#000000173|JAPAN|112639|Manufacturer#2|OqQzF6rfxDvkjpMXVCwGfQzj4oTHBHyW5kC5Gjxd|22-640-545-4690|ly regular escapades use among the express deposits. unusual, silent deposits wake. ins
9560.64|Supplier#000009656|INDONESIA|184619|Manufacturer#2|vKPPjhrw6lnQmIvuAj70e|19-362-745-1503|refully according to the 
9547.00|Supplier#000000414|VIETNAM|117902|Manufacturer#1|FkmlHgU9pqCboQ32Lcx|31-118-322-1371|. blithely unusual packages might cajole blithely regular requests.
9524.33|Supplier#000009550|INDONESIA|4549|Manufacturer#4|rsOABl2HDhHUl4kpPsj0gbZPONYWOrfbs8|19-471-689-2492|re ruthlessly against the fluffily bo
9504.89|Supplier#000000767|VIETNAM|130766|Manufacturer#3|bHEuqKKdmCMEKOV|31-880-346-2583|e slyly carefully special accounts. furiously bold foxes sleep regularly. furiously unusual
9504.89|Supplier#000000767|VIETNAM|165734|Manufacturer#3|bHEuqKKdmCMEKOV|31-880-346-2583|e slyly carefully special accounts. furiously bold foxes sleep regularly. furiously unusual
9491.33|Supplier#000005355|JAPAN|22852|Manufacturer#5|4PjyW,Ua1KgEZmsEv1tmtKoOvkziBKzSRhLN N|22-185-107-2267|egular courts around the slyly even ide
9483.17|Supplier#000003672|CHINA|81163|Manufacturer#1|oeypLDwHF1wD|28-230-110-4814|inal decoys. final packages are slyly regular accounts. carefully special instructio
9482.39|Supplier#000007650|CHINA|12647|Manufacturer#3|9D 0JiGBiod|28-266-641-8300|pths according to the slyly pending dependencies af
9417.92|Supplier#000007449|INDIA|159903|Manufacturer#5|aRS5s8KGcawKyM8dbBqa0l6ve8aMR8s6m|18-148-870-6544|sits are about the slyly even deposits. ironic accounts maintain fluffily slyly ironic f
9393.43|Supplier#000002696|VIETNAM|40191|Manufacturer#5|jcKZe1I4rY2p7Lg,SV b|31-168-339-2310|nic courts. regular requests wak
9380.43|Supplier#000003810|VIETNAM|83809|Manufacturer#3|1zPgEZHmn0fbUaQDRNH,uZ uci|31-319-356-3632|l instructions play furiously bold accounts. bold, final accounts a
9371.10|Supplier#000001676|CHINA|126651|Manufacturer#3|mZ7D3z736uNNMs66KaoK JkGOnjdgRJAklq|28-184-394-2196|. regular frays among the ironic theodolites integrate pending 
9357.02|Supplier#000005321|INDIA|182802|Manufacturer#2|uPBUzETr1ILHP1k3niRF|18-380-243-7261|d the special dependencies. blithely ironic dolphins about the carefully even package
9345.49|Supplier#000008471|JAPAN|153440|Manufacturer#3|yby8sR0,75PDNPOJmWtHFu8eCMPEkLpctO|22-536-259-4439|regular packages. blithely pending requests above the carefully final cour
9344.35|Supplier#000009380|INDIA|194341|Manufacturer#5|Ka9SQRCx8 KsA|18-852-634-2011|uffily even dependencies affix carefully against the dogged foxes. fl
9268.80|Supplier#000007062|INDIA|184543|Manufacturer#3|DGBGsC97WZ uHillDcuwPuK6qYr3vw|18-314-204-6543|uses are. ironic tithes among the regular foxes boost slyly express excuses; quickly dari
9252.69|Supplier#000009937|VIETNAM|142394|Manufacturer#2|edZ9HQJ0KJAU6EWknTiDghKfRLHq6vtFqdey,0l|31-531-982-7104|n the regular, even requests. instructions along the ideas sleep final pack
9251.05|Supplier#000003983|CHINA|166434|Manufacturer#5|51aAi CtErnk,wAHIVjVRJMv4QH2YPEW9|28-683-215-9377|s. ironic, express epitaphs are after the furiously final accounts. patterns poach ruthlessly.
9227.39|Supplier#000005120|INDIA|119|Manufacturer#4|4ms,2ZOxHyGylzr8X0JswgHTS KuJ8fyobBbs|18-859-429-2143| final requests cajole carefully careful ideas. blithely i
9209.53|Supplier#000001313|JAPAN|106292|Manufacturer#4|8Rh,5SSqCH|22-203-596-3566|ckages wake. slyly ironic instructions wake accounts! quickly ironic epitaphs hag
9208.83|Supplier#000006833|CHINA|74325|Manufacturer#3|x4IaVRBV1hzeI5eXy5DXmLn83y mmbI|28-641-301-2578|sts use carefully. slyly pending requests wake after the
9176.70|Supplier#000007321|INDIA|52310|Manufacturer#5|P0PzqTa0LNYs|18-359-235-4861|er the requests sleep at the quickly even packages. quickly even pa
9159.04|Supplier#000002119|INDIA|82118|Manufacturer#2|E8p6oQMDNR7,NNGxqoGDZsoood9sYFt6NEH,|18-518-384-9729|osits boost quickly. deposits according to the furiously idle excuses are against the blithely qu
