s_name|s_address
Supplier#000000024|C4nPvLrVmKPPabFCj
Supplier#000000037|cqjyB5h1nV
Supplier#000000118|BYtvNtFpQAHHoBFWF
Supplier#000000183|zAAIv68BEXvllrfgsW,i8e
Supplier#000000261|vUT2UDI,GAqIA
Supplier#000000291|0qDDQst1b1bznHQh5jsmOq8nxf8Pz1Kn
Supplier#000000368|3o5w6T5HzjFmSf1
Supplier#000000370|yyNSJAG9UXcWit4SeMkEIrNcdVq5
Supplier#000000463|XOb4DatMUyqMuFM92ZRaapwsEQ
Supplier#000000474|USHBMdX8iFodU
Supplier#000000491|mTbDcJHQ7d
Supplier#000000683|W0rFJpyes6atCIuwAmktnK
Supplier#000000701|ijyXEKJPjoVzpXY9g
Supplier#000000764|2qcwW0V7q3Ipei1tPW3
Supplier#000000774|XVYeiG4,BopCyYAQwld4l0scarsoe8J0cQ
Supplier#000000784|Or3 KncT1AHPPb
Supplier#000000800|Z4 hpmBjpjBXREqzixsBCIaF
Supplier#000000817|0GTKh7JybR8sVahPoJT8kbNtDV0TzA79Q
Supplier#000000983|XOYb xohl2j0U7wTTUaT4F6DShKfH4Hv3p,hnP 
Supplier#000001097|1FeaDqTTemSqxWvrsh58K3YCwiG
Supplier#000001143|Lm h,MliyudNgZYMKKEE1,CUh21kOOdrqdDPZqm
Supplier#000001146|UKWRbMRr47499Kta
Supplier#000001158|, tVY8orI3
Supplier#000001203|jHCBBvYw1DqzKRAV7T1bGz
Supplier#000001206|pFMSZD5MiEv
Supplier#000001311|RkSRZhG0WUBIvJSU1X9js0hOmfx6SL6b1hmKW4bf
Supplier#000001342|PLHRQAf4AK okYJGKWODElzeupU4y,ijWOd0Q2q,
Supplier#000001362|3l5jqvUos9Zbu
Supplier#000001363|gn CXPzlZVpy
Supplier#000001418|FVmNlHh2wrXJMQUDZqnp8GNIlQCnmHHzplBS,CF
Supplier#000001422|J48g9qobTEuBQPvZa6DH3TEHlL1VD11xtutv36pF
Supplier#000001493|MEIytTTK27Z1YIyJ4fRh3FsLUJEzQxaM
Supplier#000001549|MYsM43isIm8Y5u
Supplier#000001592|R7WTSZx6J5eE0QdCP6Xrvwuz
Supplier#000001689|eLZWHr5DsW8
Supplier#000001717|iLO76fgaDH6DFsBfb6ZMnOK7F9LnqoZRvjQzVpj
Supplier#000001720|ZTDR6fE4HR3fDSKs
Supplier#000002024|8PEKfAVOdGCspXSXMAZln
Supplier#000002099|xpHU3PIuVz5UfoiaKiQtIxqbmln5zf
Supplier#000002177|6O,8q,u1FLWiKGGZmfhGg9ooXl1AHARWZIti
Supplier#000002239|NL9w9GFCzq6N
Supplier#000002258|bXE2ygKSjCOsmijmUy5TbL
Supplier#000002445|gVkPmZC9v7zjro
Supplier#000002458|c8eZIly7LJrl7buLs7OTvNeEStmEFHIJ4hOk
Supplier#000002564|lZUJcDjtVMbdaBJ0w82CN
Supplier#000002767|TH8T96SZPPsJOC5
Supplier#000002962|gRQXWtrUwB6Al99PmX1O
Supplier#000003096|,ZraWb5SVMxGHmoNlmKLSqKjyC Q9JSlujpQbW49
Supplier#000003137|dlR1SeOSy6FG
Supplier#000003162|ELupM21SsqcCJOgwvOl0V9j5uulbE13R
Supplier#000003278|e2IO3KGtSZl18kn2rh6BNMe9U7LL7CW7CjCj
Supplier#000003292|rdZxuvAOnGA5TGTgAZlaor Ah7pd1xqVUz4V7nYL
Supplier#000003293|filufiVzCBVot7vAwPRvCimnQ
Supplier#000003296|0c318ax2Hbuqd9qDJwxDVmMpTM9RLSFeXsXlLHck
Supplier#000003504|FHr0MRFGEDInYaqPsqVOU24TLJCiJiR0UrVcmap
Supplier#000003506|kJoSJKvCYigjYeOhM74tpsnkAdKto7u7jEE8B
Supplier#000003539|uPKu8p0Vv2MzTU8y POo19yNgM4Hz6JB
