nation|o_year|sum_profit
ALGERIA|1998|30411405.2909
ALGERIA|1997|50920199.8042
ALGERIA|1996|49039923.0686
ALGERIA|1995|51884030.2886
ALGERIA|1994|48375614.9251
ALGERIA|1993|47093993.4593
ALGERIA|1992|54189272.7819
ARGENTINA|1998|28117946.0073
ARGENTINA|1997|47274792.7901
ARGENTINA|1996|46827577.7003
ARGENTINA|1995|49483021.5026
ARGENTINA|1994|48382755.5697
ARGENTINA|1993|46818287.7908
ARGENTINA|1992|48128704.6694
BRAZIL|1998|28061196.1327
BRAZIL|1997|46100279.7551
BRAZIL|1996|48491505.5492
BRAZIL|1995|45010513.9922
BRAZIL|1994|45670109.6911
BRAZIL|1993|46887926.0256
BRAZIL|1992|46214013.1314
CANADA|1998|28042036.3354
CANADA|1997|49647958.9157
CANADA|1996|50880780.3269
CANADA|1995|48622679.3229
CANADA|1994|46942190.3085
CANADA|1993|49895113.2787
CANADA|1992|48135100.1622
CHINA|1998|28326737.5405
CHINA|1997|46930101.9867
CHINA|1996|46611136.9511
CHINA|1995|46869592.4939
CHINA|1994|46583766.1824
CHINA|1993|45788331.4336
CHINA|1992|46172326.2572
EGYPT|1998|28441754.1016
EGYPT|1997|48995146.0915
EGYPT|1996|47883450.0547
EGYPT|1995|49866046.2162
EGYPT|1994|48405461.0665
EGYPT|1993|50339405.0996
EGYPT|1992|48496544.1132
ETHIOPIA|1998|26370687.0763
ETHIOPIA|1997|46030773.8394
ETHIOPIA|1996|44253006.3398
ETHIOPIA|1995|45357002.7973
ETHIOPIA|1994|46568596.3615
ETHIOPIA|1993|45196075.0466
ETHIOPIA|1992|44453685.3079
FRANCE|1998|25212152.1322
FRANCE|1997|45103832.3389
FRANCE|1996|43816903.3292
FRANCE|1995|43997808.6208
FRANCE|1994|45505537.4793
FRANCE|1993|43981576.0657
FRANCE|1992|42743391.2255
GERMANY|1998|28546155.8431
GERMANY|1997|49412975.2986
GERMANY|1996|49050322.7571
GERMANY|1995|50491789.9335
GERMANY|1994|46286075.5502
GERMANY|1993|46644120.8157
GERMANY|1992|49476315.1308
INDIA|1998|27447654.2631
INDIA|1997|46505226.0482
INDIA|1996|46433724.3849
INDIA|1995|46971164.0624
INDIA|1994|46395680.2986
INDIA|1993|45607622.4012
INDIA|1992|44634573.5553
INDONESIA|1998|28927829.4979
INDONESIA|1997|49671081.5152
INDONESIA|1996|50249744.2153
INDONESIA|1995|48658239.8559
INDONESIA|1994|48663344.3550
INDONESIA|1993|48402000.9330
INDONESIA|1992|47550789.6593
IRAN|1998|26867024.6090
IRAN|1997|42199725.6375
IRAN|1996|49299597.7210
IRAN|1995|46636820.0794
IRAN|1994|47660772.7274
IRAN|1993|43899016.9055
IRAN|1992|42879751.3387
IRAQ|1998|29623280.0569
IRAQ|1997|50724554.2913
IRAQ|1996|48593456.7214
IRAQ|1995|51615752.5364
IRAQ|1994|49581010.8548
IRAQ|1993|49573214.1192
IRAQ|1992|51463079.1282
JAPAN|1998|23193427.3718
JAPAN|1997|43239656.3904
JAPAN|1996|43030305.2158
JAPAN|1995|44605584.2926
JAPAN|1994|43070665.8748
JAPAN|1993|43456587.9263
JAPAN|1992|41908504.9588
JORDAN|1998|25496977.7040
JORDAN|1997|42468386.2927
JORDAN|1996|43467160.8761
JORDAN|1995|39824935.8308
JORDAN|1994|41834677.7222
JORDAN|1993|43316895.8224
JORDAN|1992|43204460.3602
KENYA|1998|26401818.6783
KENYA|1997|43461638.4777
KENYA|1996|42233389.3355
KENYA|1995|45234185.6640
KENYA|1994|43000519.3725
KENYA|1993|42957341.8955
KENYA|1992|44464888.5046
MOROCCO|1998|26996931.7180
MOROCCO|1997|46459640.8289
MOROCCO|1996|43154531.9307
MOROCCO|1995|48378387.6744
MOROCCO|1994|43871290.6096
MOROCCO|1993|46678534.6352
MOROCCO|1992|44919453.6860
MOZAMBIQUE|1998|31048586.5760
MOZAMBIQUE|1997|52360539.6074
MOZAMBIQUE|1996|50832568.1480
MOZAMBIQUE|1995|52085430.1542
MOZAMBIQUE|1994|52490635.1191
MOZAMBIQUE|1993|49590971.2331
MOZAMBIQUE|1992|51486367.6753
PERU|1998|28877192.6049
PERU|1997|46270525.9704
PERU|1996|47902499.2576
PERU|1995|46639332.0945
PERU|1994|46843504.3639
